t,t,t,t,t,t,t,t,t,t,t,t,t,wl1,wm1,wm1,wm1,wr1,gr,gr
t,t,gt1,gt2,gt3,t,t,t,t,t,t,t,gr,wl2,w,w,w,wr2,gr,gr
t,t,gt4,gt5,gt6,t,p,p,p,p,p,gr,gr,wl2,w,w,w,wr2,gr,gr
t,t,gt7,gt8,gt9,t,p,p,p,p,t,gr,gr,wl2,w,w,w,wr2,gr,gr
t,t,gt10,gt11,gt12,t,g,g,g,g,g,p,g,wl2,w,w,w,wr2,gr,gr
t,t,gr,gr,gr,p,g,t,g,g,g,g,g,wl2,w,w,w,wr2,gr,gr
g,g,g,g,g,g,g,g,g,g,t,g,g,wl2,w,w,w,wr2,gr,gr
g,g,g,g,g,g,g,g,g,g,g,g,g,wl2,w,w,w,wr2,gr,gr
t,t,t,t,t,t,t,t,t,g,g,g,g,wl2,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,gr,gr,t,g,fa1,fa2,g,wl2,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,gr,gr,t,g,fa3,fa4,g,wl2,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,gr,gr,t,g,fa5,fa6,g,wl2,w,w,w,wr2,gr,gr
t,gr,t,gr,gr,gr,gr,gr,t,g,g,g,g,wl2,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,wl1,wm1,wm1,wm1,wm1,wm1,wm1,wc1,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,wl2,w,w,w,w,w,w,w,w,w,w,wr2,gr,gr
t,gr,gr,gr,t,gr,wl2,w,w,w,w,w,w,w,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,wl2,w,w,w,w,w,w,w,w,w,w,wr2,gr,gr
t,gr,gr,gr,gr,gr,wl2,w,w,w,w,w,w,w,w,w,w,wr2,gr,gr
t,gr,gr,t,gr,gr,wl3,wm2,wm2,wm2,wm2,wm2,wm2,wm2,wm2,wm2,wm2,wr3,gr,gr
t,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr,gr
