t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
lt1,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,lt1
lt2,ti,t,ti,ti,ti,ti,ti,ti,b1,b2,ti,ti,ti,ti,ti,ti,t,ti,lt2
lt3,ti,t,p,p,ti,ti,ti,ti,b3,b4,ti,ti,ti,ti,p,p,t,ti,lt3
lt1,ti,ti,p,p,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,p,p,ti,ti,lt1
lt2,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,lt2
lt3,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,lt3
fa,fa,fa,fa,fa,fa,fa,fa,ti,ti,ti,fa,fa,fa,fa,fa,fa,fa,fa,fa
s,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,s,gf,gf,gf,s
gf,s,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,s,gf,s
s,gf,gf,s,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,s,s
wm1,wm1,wm1,wm1,wm1,wm1,wm1,br1,br2,br3,br4,br5,wm1,wm1,wm1,wm1,wm1,wm1,wm1,wm1
w,w,w,w,w,w,w,br6,br7,br8,br9,br10,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,br11,br12,br13,br14,br15,w,w,w,w,w,w,w,w
wm2,wm2,wm2,wm2,wm2,wm2,wm2,br16,br17,br18,br19,br20,wm2,wm2,wm2,wm2,wm2,wm2,wm2,wm2
s,s,gf,gf,gf,gf,gf,st1,gf,gf,gf,st1,gf,gf,gf,gf,gf,gf,gf,s
gf,s,gf,gf,s,gf,gf,st2,gf,gf,gf,st2,gf,gf,gf,gf,gf,gf,gf,s
s,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,s,gf,gf,s,s,gf
gf,s,s,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,gf,s,s,gf
ic,ic,ic,ic,ic,ic,ic,ice1,ice2,ice2,ice3,ic,ic,ic,ic,ic,ic,ic,ic,ic
